bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
437674,993,AB1,1,Introduced,2012-12-03,"Water quality: integrated plan: Salinas Valley.","An act to amend Section 13350 of the Water Code, relating to water quality, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",0,,2014-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB1/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_1&sess=1314&house=A
437675,993,AB2,1,Introduced,2012-12-03,"Sex offenders: parole violations.","An act to amend Section 3455 of, and to add Section 3005 to, the Penal Code, relating to sex offenders.",0,,2014-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB2/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_2&sess=1314&house=A
437676,993,AB3,1,Introduced,2012-12-03,"Income taxes: credits: film.","An act relating to taxation.",0,,2014-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB3/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_3&sess=1314&house=A
437677,993,AB4,4,Passed,2013-10-05,"State government: federal immigration policy enforcement.","An act to add Chapter 17.1 (commencing with Section 7282) to Division 7 of Title 1 of the Government Code, relating to state government.",0,,2013-10-05,"Chaptered by Secretary of State - Chapter 570, Statutes of 2013.",https://legiscan.com/CA/bill/AB4/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_4&sess=1314&house=A
437678,993,AB5,1,Introduced,2012-12-03,Homelessness.,"An act to add Part 2.2 (commencing with Section 53.1) to Division 1 of the Civil Code, and to amend Section 11135 of the Government Code, relating to homelessness.",0,,2014-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB5/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_5&sess=1314&house=A
437679,993,AB6,1,Introduced,2012-12-03,"Income tax credits: prewiring for alternative energy sources.","An act to add and repeal Sections 17052.9 and 23605 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2014-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB6/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_6&sess=1314&house=A
437680,993,AB7,1,Introduced,2012-12-03,"Oil and gas: hydraulic fracturing.","An act to amend Sections 3108, 3203, 3213, and 3215 of, to add Sections 3017, 3203.1, 3203.2, and 3215.5 to, and to add Article 3 (commencing with Section 3150) to Chapter 1 of Division 3 of, the Public Resources Code, relating to oil and gas.",0,,2014-02-03,"Died on inactive file.",https://legiscan.com/CA/bill/AB7/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_7&sess=1314&house=A
437681,993,AB8,4,Passed,2013-09-28,"Alternative fuel and vehicle technologies: funding programs.","An act to amend Sections 41081, 44060.5, 44125, 44225, 44229, 44270.3, 44271, 44272, 44273, 44274, 44275, 44280, 44281, 44282, 44283, 44287, 44299.1, and 44299.2 of, to add and repeal Section 43018.9 of, and to repeal Section 44299 of, the Health and Safety Code, to amend Sections 42885 and 42889 of the Public Resources Code, and to amend Sections 9250.1, 9250.2, 9261.1, and 9853.6 of the Vehicle Code, relating to vehicular air pollution, and declaring the urgency thereof, to take effect immediately.",0,,2013-09-28,"Chaptered by Secretary of State - Chapter 401, Statutes of 2013.",https://legiscan.com/CA/bill/AB8/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_8&sess=1314&house=A
437682,993,AB9,1,Introduced,2012-12-03,"Income taxes: credits: enterprise zone.","An act to amend Sections 17053.74 and 23622.7 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2014-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB9/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_9&sess=1314&house=A
437683,993,AB10,4,Passed,2013-09-25,"Minimum wage: annual adjustment.","An act to amend Section 1182.12 of the Labor Code, relating to wages.",0,,2013-09-25,"Chaptered by Secretary of State - Chapter 351, Statutes of 2013.",https://legiscan.com/CA/bill/AB10/2013,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_10&sess=1314&house=A
