bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
212618,82,AB1,1,Introduced,2010-12-06,"Education finance: CalWORKs Stage 3.","An act relating to education finance, and making an appropriation therefor, to take effect immediately as an appropriation for the usual and current expenses of the state.",0,,2012-02-01,"Died on inactive file.",https://legiscan.com/CA/bill/AB1/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_1&sess=1112&house=A
212619,82,AB2,2,Engrossed,2011-06-01,"Postsecondary education: Educational and Economic Goals","An act to add Chapter 12.5 (commencing with Section 67050) and Chapter 12.7 (commencing with Section 67070) to Part 40 of Division 5 of Title 3 of, to repeal Sections 66742 and 66743 of, and to repeal Chapter 4.5 (commencing with Section 99180) of Part 65 of Division 14 of Title 3 of, the Education Code, relating to postsecondary education.",0,,2011-08-25,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB2/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_2&sess=1112&house=A
212620,82,AB3,1,Introduced,2010-12-06,"Vehicles: confidential home addresses: citations.","An act to amend Section 1808.4 of the Vehicle Code, relating to vehicles.",0,,2012-02-01,"Died pursuant to Art. IV, Sec. 10(c) of the Constitution. From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB3/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_3&sess=1112&house=A
212621,82,AB4,1,Introduced,2010-12-06,"Human remains: hydrolysis.","An act to amend Sections 9615, 9740, 9741, 9741.1, 9742, 9743, 9744.5, 9745, 9748, 9749, and 9749.3 of, to add Sections 9605.3, 9607.7, and 9764.4 to, and to add Article 9 (commencing with Section 9789.1) to Chapter 19 of Division 3 of, the Business and Professions Code, and to amend Sections 7003, 7010.3, 7010.7, 7011, 7011.2, 7015, 7016, 7051, 7051.5, 7052, 7052.5, 7054, 7054.1, 7054.6, 7054.7, 7055, 7116, and 7117 of, to add Sections 7002.5, 7006.1, 7006.4, 7006.6, 7006.8, 7010.1, and 7054.8 to, and to add Article 8 (commencing with Section 8370) to Chapter 2 of Part 3 of Division 8 of, the Health and Safety Code, relating to human remains.",0,,2012-02-01,"Died pursuant to Art. IV, Sec. 10(c) of the Constitution. From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB4/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_4&sess=1112&house=A
212622,82,AB5,2,Engrossed,2011-06-01,"Teachers: best practices teacher evaluation system.","An act to amend Sections 33050, 52055.740, 52055.770, and 52055.780 of, to amend and repeal Section 44661.5 of, to amend, repeal, and add Sections 44660, 44661, 44662, and 44664 of, and to add Sections 44662.1, 44662.5, 44662.6,44662.7, and 44662.8 to, the Education Code, and to amend Section 17581.6 of the Government Code, relating to teachers, and making an appropriation therefor.",0,,2012-08-30,"From committee: Return to Senate floor for consideration. (Ayes 6. Noes 2.) (August 29). Ordered to third reading.",https://legiscan.com/CA/bill/AB5/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_5&sess=1112&house=A
212623,82,AB6,4,Passed,2011-10-06,"CalWORKs and CalFresh.","An act to amend Sections 10830, 11372, and 18901.4 of, to amend, repeal, and add Sections 11004.1, 11020, 11265.1, 11265.2, 11265.3, 11450, 11450.12, 11450.13, 11451.5 and 18910 of, and to add Section 18901.2 to, the Welfare and Institutions Code, relating to public social services.",0,,2011-10-06,"Chaptered by Secretary of State - Chapter 501, Statutes of 2011.",https://legiscan.com/CA/bill/AB6/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_6&sess=1112&house=A
212624,82,AB7,1,Introduced,2010-12-06,"State employment: salary freeze.","An act to add and repeal Section 18005 of the Government Code, relating to state employment.",0,,2012-02-01,"Died pursuant to Art. IV, Sec. 10(c) of the Constitution. From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB7/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_7&sess=1112&house=A
212625,82,AB8,1,Introduced,2010-12-06,"Division of Juvenile Justice: facilities: closures.","An act relating to juvenile justice, and declaring the urgency thereof, to take effect immediately.",0,,2012-02-01,"Died pursuant to Art. IV, Sec. 10(c) of the Constitution. From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB8/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_8&sess=1112&house=A
212626,82,AB9,4,Passed,2011-10-09,"Pupil rights: bullying.","An act to amend Sections 234, 234.1, 234.2, and 234.3 of, and to add Section 234.5 to, the Education Code, relating to pupil rights.",0,,2011-10-09,"Chaptered by Secretary of State - Chapter 723, Statutes of 2011.",https://legiscan.com/CA/bill/AB9/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_9&sess=1112&house=A
212627,82,AB10,1,Introduced,2010-12-06,"Minimum wage: annual adjustment.","An act to amend Section 1182.12 of the Labor Code, relating to wages.",0,,2012-02-01,"Died pursuant to Art. IV, Sec. 10(c) of the Constitution. From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB10/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_10&sess=1112&house=A
212628,82,AB11,1,Introduced,2010-12-06,"Taxes: credits: small businesses.","An act to repeal and amend Sections 17053.80 and 23623 of, and to add and repeal Sections 17053.76 and 23622.9 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2012-02-01,"Died pursuant to Art. IV, Sec. 10(c) of the Constitution. From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB11/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_11&sess=1112&house=A
212702,82,ABX11,1,Introduced,2010-12-06,"State employment: salary freeze.","An act to add and repeal Section 18005 of the Government Code, relating to state employment.",0,,2011-09-12,"Died at Desk.",https://legiscan.com/CA/bill/ABX11/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx1_1&sess=1112&house=A
212629,82,AB12,4,Passed,2011-07-11,"Abolition of Child Commerce, Exploitation, and Sexual","An act to add Section 261.9 to the Penal Code, relating to human trafficking.",0,,2011-07-11,"Chaptered by Secretary of State - Chapter 75, Statutes of 2011.",https://legiscan.com/CA/bill/AB12/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_12&sess=1112&house=A
212703,82,ABX12,1,Introduced,2010-12-06,"State Air Resources Board: alternative actions to","An act to add Section 39615 to the Health and Safety Code, relating to air pollution.",0,,2011-09-12,"Died at Desk.",https://legiscan.com/CA/bill/ABX12/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx1_2&sess=1112&house=A
212630,82,AB13,2,Engrossed,2011-06-01,"Public school volunteers.","An act to amend Sections 35021, 35021.1, 35021.2, 44836, and 49024 of the Education Code, relating to public school volunteers.",0,,2012-06-28,"From Senate committee without further action.",https://legiscan.com/CA/bill/AB13/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_13&sess=1112&house=A
212704,82,ABX13,1,Introduced,2010-12-06,"Regulations: 5-year review and report.","An act to add Section 11349.95 to the Government Code, relating to regulations.",0,,2011-09-12,"Died at Desk.",https://legiscan.com/CA/bill/ABX13/2011,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx1_3&sess=1112&house=A
