bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1132030,1624,AB1,4,Passed,2019-07-31,"Youth athletics: California Youth Football Act.","An act to add Article 2.7 (commencing with Section 124240) to Chapter 4 of Part 2 of Division 106 of the Health and Safety Code, relating to youth athletics.",0,,2019-07-31,"Chaptered by Secretary of State - Chapter 158, Statutes of 2019.",https://legiscan.com/CA/bill/AB1/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB1
1131894,1624,AB2,4,Passed,2019-10-04,"Community colleges: California College Promise.","An act to amend Section 76396.3 of the Education Code, relating to postsecondary education.",0,,2019-10-04,"Chaptered by Secretary of State - Chapter 509, Statutes of 2019.",https://legiscan.com/CA/bill/AB2/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB2
1132059,1624,AB3,6,Failed,2020-02-03,"Cannabis: Adolescent Cannabis Prevention Fund.","An act to add Section 26212 to the Business and Professions Code, relating to cannabis.",0,,2020-02-03,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB3/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB3
1131884,1624,AB4,2,Engrossed,2019-05-28,"Medi-Cal: eligibility.","An act to amend Section 14007.8 of the Welfare and Institutions Code, relating to Medi-Cal.",480,"Senate Health",2019-07-02,"In committee: Set, second hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB4/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB4
1131977,1624,AB5,4,Passed,2019-09-18,"Worker status: employees and independent contractors.","An act to amend Section 3351 of, and to add Section 2750.3 to, the Labor Code, and to amend Sections 606.5 and 621 of the Unemployment Insurance Code, relating to employment, and making an appropriation therefor.",0,,2019-09-18,"Chaptered by Secretary of State - Chapter 296, Statutes of 2019.",https://legiscan.com/CA/bill/AB5/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB5
1132023,1624,AB6,2,Engrossed,2019-05-28,"Attorney General: duties.","An act to amend Section 17206 of the Business and Professions Code, to amend Section 5650.1 of the Fish and Game Code, to amend Sections 12502 and 12530 of the Government Code, and to add and repeal Division 10.10 (commencing with Section 11999.30) of the Health and Safety Code, relating to the Attorney General, and making an appropriation therefor, to take effect immediately, bill related to the budget.",476,"Senate Budget and Fiscal Review",2020-08-29,"In committee: Set, first hearing. Testimony taken.",https://legiscan.com/CA/bill/AB6/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB6
1131938,1624,AB7,2,Engrossed,2019-05-09,"Daylight saving time.","An act to amend Section 6808 of the Government Code, relating to computation of time, and declaring the urgency thereof, to take effect immediately.",495,"Senate Energy, Utilities and Communications",2019-06-04,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB7/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB7
1131906,1624,AB8,2,Engrossed,2019-05-23,"Pupil health: mental health professionals.","An act to add Section 49429.5 to the Education Code, relating to pupil health.",480,"Senate Health",2019-07-08,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB8/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB8
1131898,1624,AB9,4,Passed,2019-10-10,"Employment discrimination: limitation of actions.","An act to amend Sections 12960 and 12965 of the Government Code, relating to employment.",0,,2019-10-10,"Chaptered by Secretary of State - Chapter 709, Statutes of 2019.",https://legiscan.com/CA/bill/AB9/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB9
1132076,1624,AB10,2,Engrossed,2019-05-22,"Income taxes: credits low-income housing: farmworker housing.","An act to amend Sections 12206, 17058, and 23610.5 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2019-08-30,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB10/2019,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201920200AB10
